35700205413600100038-LL1	MADLL1			Calle de Carlos Arniches	MADRID	28005	ES				SameDay Drop off	40.4080807,-3.7083511				28004			1
35700205718600100034-LL1	MADLL1			Calle de Segovia	MADRID	28005	ES				SameDay Drop off	40.4137443,-3.7202506				28004			1
35700205931300100030-LL1	MADLL1			Calle de Fernando el Católico	MADRID	28015	ES				SameDay Drop off	40.4342719,-3.7106561				28004			1
35700207445700100036-LL1	MADLL1			Calle de Meléndez Valdés	MADRID	28015	ES				SameDay Drop off	40.4330803,-3.7127359				28004			1
35700208829000100030-LL1	MADLL1			Calle del Nuncio	MADRID	28005	ES				SameDay Drop off	40.4134099885884,-3.70931997136645				28004			1
35700209058700100036-LL1	MADLL1			Calle del Barquillo	MADRID	28004	ES				SameDay Drop off	40.4229869,-3.6955218				28004			1
35700209991500100038-LL1	MADLL1			Calle de Fuencarral	MADRID	28004	ES				SameDay Drop off	40.4267834,-3.7012795				28004			1
35700212023700100038-LL1	MADLL1			Calle de Fernando el Católico	MADRID	28015	ES				SameDay Drop off	40.4338674,-3.7094387				28004			1
35700213263300100031-LL1	MADLL1			Calle de Melilla	MADRID	28005	ES				SameDay Drop off	40.40083,-3.7090806				28004			1
35700213579000100036-LL1	MADLL1			Calle de Santa Teresa	MADRID	28004	ES				SameDay Drop off	40.4260895,-3.6959436				28004			1
35700214988800100037-LL1	MADLL1			Calle de Alfonso XII	MADRID	28014	ES				SameDay Drop off	40.4077227,-3.6884134				28004			1
35700042653000100037-LL1	MADLL1			Calle de Alfonso XII	MADRID	28014	ES				SameDay Drop off	40.4142638,-3.6891468				28004			1
35700045266600100030-LL1	MADLL1			Calle del Prado	MADRID	28014	ES				SameDay Drop off	40.4151182,-3.6984011				28004			1
35700058185700200034-LL1	MADLL1			Calle de Mejía Lequerica	MADRID	28004	ES				SameDay Drop off	40.4265733,-3.6981846				28004			1
35700058185700100037-LL1	MADLL1			Calle de Mejía Lequerica	MADRID	28004	ES				SameDay Drop off	40.4265733,-3.6981846				28004			1
35700063323300200036-LL1	MADLL1			Calle Fuenterrabía	MADRID	28014	ES				SameDay Drop off	40.4064199,-3.6824891				28004			1
35700063323300100039-LL1	MADLL1			Calle Fuenterrabía	MADRID	28014	ES				SameDay Drop off	40.4064199,-3.6824891				28004			1
35700071483900100033-LL1	MADLL1			Paseo de la Reina Cristina	MADRID	28014	ES				SameDay Drop off	40.4067988,-3.6850759				28004			1
35700074432300100034-LL1	MADLL1			Paseo de la Reina Cristina	MADRID	28014	ES				SameDay Drop off	40.407268,-3.681242				28004			1
35700077760600100032-LL1	MADLL1			Calle de San Agustín	MADRID	28014	ES				SameDay Drop off	40.4141600012845,-3.69686002083907				28004			1
35700078930200100032-LL1	MADLL1			Calle de Alcalá	MADRID	28014	ES				SameDay Drop off	40.4193967,-3.6908559				28004			1
35700081349700100031-LL1	MADLL1			Calle de Toledo	MADRID	28005	ES				SameDay Drop off	40.404349989446,-3.71305000209858				28004			1
35700083086100100039-LL1	MADLL1			Calle del Marqués de la Ensenada	MADRID	28004	ES				SameDay Drop off	40.4250963,-3.691769				28004			1
35700085137400100033-LL1	MADLL1			Calle de Latoneros	MADRID	28005	ES				SameDay Drop off	40.4139699835395,-3.70776001536649				28004			1
35700087086600100030-LL1	MADLL1			Calle de Vallehermoso	MADRID	28015	ES				SameDay Drop off	40.4314892,-3.7092035				28004			1
35700094169600100030-LL1	MADLL1			Calle de Melilla	MADRID	28005	ES				SameDay Drop off	40.4013625,-3.710134				28004			1
35790471144600100033-LL1	MADLL1			Calle de Arganzuela	MADRID	28005	ES				SameDay Drop off	40.4084894,-3.7100741				28004			1
38230916821600100039-LL1	MADLL1			Calle de los Mancebos	MADRID	28005	ES				SameDay Drop off	40.4121900025812,-3.71249998161221				28004			1
35790562536000100033-LL1	MADLL1			Calle de Palos de la Frontera	MADRID	28012	ES				SameDay Drop off	40.40264,-3.6998754				28004			1
35700031969600100037-LL1	MADLL1			Calle del Rosario	MADRID	28005	ES				SameDay Drop off	40.4091114,-3.7151223				28004			1
38230948178900100030-LL1	MADLL1			Calle Arquitectura	MADRID	28005	ES				SameDay Drop off	40.3990566,-3.7021537				28004			1
38230953413800100035-LL1	MADLL1			Calle del Espíritu Santo	MADRID	28004	ES				SameDay Drop off	40.4256423,-3.7063854				28004			1
35700104643100100036-LL1	MADLL1			Glorieta Embajadores	MADRID	28012	ES				SameDay Drop off	40.4049909,-3.7016983				28004			1
35700109837000100035-LL1	MADLL1			Calle San Anastasio	MADRID	28005	ES				SameDay Drop off	40.3973123,-3.703065				28004			1
35700114461100100033-LL1	MADLL1			Calle de Alfonso VI	MADRID	28005	ES				SameDay Drop off	40.413166,-3.7120346				28004			1
35700115374200100034-LL1	MADLL1			Paseo de las Acacias	MADRID	28005	ES				SameDay Drop off	40.4044885,-3.703786				28004			1
35700150212400100030-LL1	MADLL1			Calle de las Peñuelas	MADRID	28005	ES				SameDay Drop off	40.4014686,-3.7030984				28004			1
35700155819000100030-LL1	MADLL1			Calle de Embajadores	MADRID	28012	ES				SameDay Drop off	40.4040441,-3.702147				28004			1
35700027591900100034-LL1	MADLL1			Calle de Fray Luis de León	MADRID	28012	ES				SameDay Drop off	40.4032192,-3.6978134				28004			1
35700033598600100037-LL1	MADLL1			Calle de Arganda	MADRID	28005	ES				SameDay Drop off	40.3973143,-3.7041244				28004			1
35700046257100100032-LL1	MADLL1			Calle del Laurel	MADRID	28005	ES				SameDay Drop off	40.4036965,-3.7055562				28004			1
35700055736800100033-LL1	MADLL1			Calle de la Palma	MADRID	28015	ES				SameDay Drop off	40.4266279,-3.7073744				28004			1
35700062170900100034-LL1	MADLL1			Calle de las Peñuelas	MADRID	28005	ES				SameDay Drop off	40.4014686,-3.7030984				28004			1
35700068741000100039-LL1	MADLL1			Calle de Santa Cruz de Marcenado	MADRID	28015	ES				SameDay Drop off	40.4296500098098,-3.71333004148366				28004			1
